2	2	AmelILC-07698,Amh3ILC-07612	Amh3,Amel
1	1	Am32ILC-16127	Am32
3	3	Am32ILC-11797,AmelILC-03592,Amh3ILC-03601	Amh3,Am32,Amel
1	1	Amh3ILC-01384	Amh3
1	1	Amh3ILC-07609	Amh3
1	1	AmelILC-07701	Amel
2	2	Am32ILC-10327,Amh3ILC-03033	Amh3,Am32
2	2	Am32ILC-12197,Amh3ILC-04885	Amh3,Am32
1	1	Amh3ILC-11310	Amh3
1	1	AmelILC-01519	Amel
2	2	Am32ILC-01669,AmelILC-01517	Am32,Amel
3	3	Am32ILC-15955,AmelILC-07599,Amh3ILC-07423	Amh3,Am32,Amel
3	3	Am32ILC-12148,AmelILC-04702,Amh3ILC-04670	Amh3,Am32,Amel
2	2	Am32ILC-12600,Amh3ILC-04177	Amh3,Am32
1	1	Amh3ILC-14259	Amh3
2	2	Am32ILC-08871,AmelILC-14346	Am32,Amel
3	3	Am32ILC-14377,AmelILC-05295,Amh3ILC-05338	Amh3,Am32,Amel
2	2	AmelILC-15582,Amh3ILC-15484	Amh3,Amel
1	1	Amh3ILC-04654	Amh3
3	3	Am32ILC-20262,AmelILC-16857,Amh3ILC-09913	Amh3,Am32,Amel
3	3	Am32ILC-16858,AmelILC-08902,Amh3ILC-08755	Amh3,Am32,Amel
1	1	Am32ILC-01672	Am32
2	2	AmelILC-09069,Amh3ILC-08861	Amh3,Amel
3	3	Am32ILC-10658,AmelILC-02874,Amh3ILC-02752	Amh3,Am32,Amel
2	2	AmelILC-08692,Amh3ILC-08541	Amh3,Amel
3	3	Am32ILC-01321,AmelILC-01358,Amh3ILC-01218	Amh3,Am32,Amel
3	3	Am32ILC-21162,AmelILC-15992,Amh3ILC-03136	Amh3,Am32,Amel
3	3	Am32ILC-05975,AmelILC-12868,Amh3ILC-12667	Amh3,Am32,Amel
3	3	Am32ILC-18811,AmelILC-09937,Amh3ILC-09790	Amh3,Am32,Amel
3	3	Am32ILC-15269,AmelILC-06819,Amh3ILC-06639	Amh3,Am32,Amel
2	2	Am32ILC-13474,Amh3ILC-05781	Amh3,Am32
3	3	Am32ILC-10480,AmelILC-03020,Amh3ILC-02896	Amh3,Am32,Amel
1	1	Amh3ILC-01176	Amh3
2	2	AmelILC-06280,Amh3ILC-06266	Amh3,Amel
2	2	AmelILC-00050,Amh3ILC-00031	Amh3,Amel
3	3	Am32ILC-15823,AmelILC-06260,Amh3ILC-06241	Amh3,Am32,Amel
3	3	Am32ILC-11195,AmelILC-03912,Amh3ILC-03935	Amh3,Am32,Amel
3	3	Am32ILC-08174,AmelILC-14631,Amh3ILC-14572	Amh3,Am32,Amel
3	3	Am32ILC-17535,AmelILC-08350,Amh3ILC-08207	Amh3,Am32,Amel
3	3	Am32ILC-08391,AmelILC-14797,Amh3ILC-14714	Amh3,Am32,Amel
3	3	Am32ILC-17165,AmelILC-09164,Amh3ILC-08967	Amh3,Am32,Amel
3	3	Am32ILC-16700,AmelILC-07432,Amh3ILC-07256	Amh3,Am32,Amel
1	1	AmelILC-01401	Amel
2	2	AmelILC-06908,Amh3ILC-06813	Amh3,Amel
1	1	Am32ILC-14561	Am32
1	1	Am32ILC-16118	Am32
3	3	Am32ILC-10308,AmelILC-03178,Amh3ILC-03051	Amh3,Am32,Amel
3	3	Am32ILC-08193,AmelILC-14639,Amh3ILC-14581	Amh3,Am32,Amel
2	2	Am32ILC-06025,Amh3ILC-12626	Amh3,Am32
2	2	AmelILC-01758,Amh3ILC-01579	Amh3,Amel
3	3	Am32ILC-16663,AmelILC-07399,Amh3ILC-07278	Amh3,Am32,Amel
1	1	Amh3ILC-05600	Amh3
1	1	Amh3ILC-08010	Amh3
1	1	Am32ILC-13703	Am32
3	3	Am32ILC-14515,AmelILC-06174,Amh3ILC-06191	Amh3,Am32,Amel
2	2	Am32ILC-15463,AmelILC-06993	Am32,Amel
1	1	Amh3ILC-11080	Amh3
3	3	Am32ILC-10620,AmelILC-02907,Amh3ILC-02786	Amh3,Am32,Amel
1	1	Am32ILC-17801	Am32
2	2	AmelILC-08864,Amh3ILC-08579	Amh3,Amel
5	3	Am32ILC-15473,Am32ILC-04434,AmelILC-11631,Amh3ILC-06899,Amh3ILC-11523	Amh3,Am32,Amel
3	3	Am32ILC-05009,AmelILC-12132,Amh3ILC-12060	Amh3,Am32,Amel
3	3	Am32ILC-17969,AmelILC-08861,Amh3ILC-08582	Amh3,Am32,Amel
2	2	Am32ILC-08782,Amh3ILC-15055	Amh3,Am32
3	3	Am32ILC-09475,AmelILC-15590,Amh3ILC-15477	Amh3,Am32,Amel
3	3	Am32ILC-12072,AmelILC-04143,Amh3ILC-04104	Amh3,Am32,Amel
3	3	Am32ILC-03073,AmelILC-10349,Amh3ILC-10240	Amh3,Am32,Amel
1	1	Am32ILC-01793	Am32
3	3	Am32ILC-07160,AmelILC-13954,Amh3ILC-13908	Amh3,Am32,Amel
3	3	Am32ILC-08173,AmelILC-14630,Amh3ILC-14571	Amh3,Am32,Amel
2	2	AmelILC-13711,Amh3ILC-13619	Amh3,Amel
3	3	Am32ILC-12641,AmelILC-04224,Amh3ILC-04278	Amh3,Am32,Amel
3	3	Am32ILC-07557,AmelILC-14239,Amh3ILC-14166	Amh3,Am32,Amel
3	3	Am32ILC-20392,AmelILC-16889,Amh3ILC-11128	Amh3,Am32,Amel
3	3	Am32ILC-00129,AmelILC-00489,Amh3ILC-00548	Amh3,Am32,Amel
1	1	Am32ILC-17966	Am32
1	1	Am32ILC-12137	Am32
3	3	Am32ILC-08356,AmelILC-14777,Amh3ILC-08335	Amh3,Am32,Amel
3	3	Am32ILC-00393,AmelILC-00695,Amh3ILC-00635	Amh3,Am32,Amel
3	3	Am32ILC-10842,AmelILC-02288,Amh3ILC-02227	Amh3,Am32,Amel
3	3	Am32ILC-03306,AmelILC-10518,Amh3ILC-10406	Amh3,Am32,Amel
2	2	Am32ILC-06152,Amh3ILC-12195	Amh3,Am32
3	3	Am32ILC-12496,AmelILC-04989,Amh3ILC-04984	Amh3,Am32,Amel
3	3	Am32ILC-13253,AmelILC-05435,Amh3ILC-05443	Amh3,Am32,Amel
3	3	Am32ILC-09344,AmelILC-15482,Amh3ILC-15326	Amh3,Am32,Amel
3	3	Am32ILC-04787,AmelILC-11991,Amh3ILC-11873	Amh3,Am32,Amel
3	3	Am32ILC-17752,AmelILC-08514,Amh3ILC-08384	Amh3,Am32,Amel
3	3	Am32ILC-15474,AmelILC-07005,Amh3ILC-06898	Amh3,Am32,Amel
1	1	Am32ILC-01267	Am32
3	3	Am32ILC-12470,AmelILC-04960,Amh3ILC-05011	Amh3,Am32,Amel
3	3	Am32ILC-15241,AmelILC-06766,Amh3ILC-06611	Amh3,Am32,Amel
3	3	Am32ILC-12055,AmelILC-03811,Amh3ILC-03783	Amh3,Am32,Amel
1	1	Amh3ILC-04031	Amh3
3	3	Am32ILC-17402,AmelILC-08244,Amh3ILC-08043	Amh3,Am32,Amel
3	3	Am32ILC-04091,AmelILC-11359,Amh3ILC-11287	Amh3,Am32,Amel
2	2	AmelILC-02403,Amh3ILC-02329	Amh3,Amel
3	3	Am32ILC-05159,AmelILC-11118,Amh3ILC-10953	Amh3,Am32,Amel
2	2	Am32ILC-14303,Amh3ILC-05260	Amh3,Am32
3	3	Am32ILC-18822,AmelILC-09951,Amh3ILC-09777	Amh3,Am32,Amel
1	1	Amh3ILC-15763	Amh3
2	2	AmelILC-07794,Amh3ILC-07704	Amh3,Amel
1	1	Am32ILC-17045	Am32
2	2	AmelILC-02017,Amh3ILC-01860	Amh3,Amel
1	1	Am32ILC-16275	Am32
3	3	Am32ILC-09330,AmelILC-15475,Amh3ILC-15333	Amh3,Am32,Amel
2	2	AmelILC-09001,Amh3ILC-12275	Amh3,Amel
3	3	Am32ILC-11769,AmelILC-03565,Amh3ILC-03627	Amh3,Am32,Amel
3	3	Am32ILC-12532,AmelILC-05026,Amh3ILC-04950	Amh3,Am32,Amel
2	2	Am32ILC-14954,Amh3ILC-06455	Amh3,Am32
1	1	Amh3ILC-06476	Amh3
